MEASURE USED:
value= max/count;
max=10000;
count= lru index;

hit rate = 5.893181422423444


max value is 40166.0
item	value	weight	take
383	26.0	49	false
384	26.0	23	false
385	25.0	50	false
386	25.0	10	false
387	25.0	22	false
388	25.0	28	false
389	25.0	23	false
390	25.0	9	false
391	25.0	5	false
392	25.0	3	false
393	25.0	2	false
394	25.0	27	false
395	25.0	29	false
396	25.0	42	false
397	25.0	9	false
398	25.0	16	false
399	25.0	45	false
400	25.0	45	false
401	24.0	29	false
402	24.0	11	false
403	24.0	11	false
404	24.0	14	false
405	24.0	25	false
406	24.0	5	false
407	24.0	17	false
408	24.0	32	false
409	24.0	5	false
410	24.0	35	false
411	24.0	3	false
412	24.0	32	false
413	24.0	19	false
414	24.0	32	false
415	24.0	48	false
416	24.0	41	false
417	23.0	14	false
418	23.0	48	false
419	23.0	45	false
420	23.0	50	false
421	23.0	21	false
422	23.0	49	false
423	23.0	47	false
424	23.0	5	false
425	23.0	20	false
426	23.0	9	false
427	23.0	41	false
428	23.0	47	false
429	23.0	5	false
430	23.0	34	false
431	23.0	14	false
432	23.0	46	false
433	23.0	5	false
434	23.0	22	false
435	22.0	28	false
436	22.0	26	false
437	22.0	25	false
438	22.0	23	false
439	22.0	16	false
440	22.0	18	false
441	22.0	38	false
442	22.0	30	false
443	22.0	48	false
444	22.0	7	false
445	22.0	42	false
446	22.0	49	false
447	22.0	43	false
448	22.0	8	false
449	22.0	21	false
450	22.0	22	false
451	22.0	17	false
452	22.0	16	false
453	22.0	12	false
454	22.0	41	false
455	21.0	36	false
456	21.0	22	false
457	21.0	49	false
458	21.0	5	false
459	21.0	22	false
460	21.0	22	false
461	21.0	40	false
462	21.0	31	false
463	21.0	38	false
464	21.0	21	false
465	21.0	7	false
466	21.0	30	false
467	21.0	4	false
468	21.0	47	false
469	21.0	8	false
470	21.0	41	false
471	21.0	28	false
472	21.0	34	false
473	21.0	42	false
474	21.0	20	false
475	21.0	49	false
476	21.0	50	false
477	20.0	7	false
478	20.0	42	false
479	20.0	3	false
480	20.0	37	false
481	20.0	2	false
482	20.0	14	false
483	20.0	26	false
484	20.0	50	false
485	20.0	45	false
486	20.0	5	false
487	20.0	17	false
488	20.0	21	false
489	20.0	11	false
490	20.0	26	false
491	20.0	36	false
492	20.0	26	false
493	20.0	48	false
494	20.0	21	false
495	20.0	17	false
496	20.0	9	false
497	20.0	38	false
498	20.0	48	false
499	20.0	38	false
500	20.0	42	false
501	19.0	24	false
502	19.0	37	false
503	19.0	1	true
504	19.0	47	false
505	19.0	16	false
506	19.0	11	false
507	19.0	22	false
508	19.0	45	false
509	19.0	30	false
510	19.0	15	false
511	19.0	31	false
512	19.0	41	false
513	19.0	11	false
514	19.0	5	false
515	19.0	18	false
516	19.0	32	false
517	19.0	14	false
518	19.0	5	false
519	19.0	3	false
520	19.0	3	false
521	19.0	41	false
522	19.0	33	false
523	19.0	37	false
524	19.0	30	false
525	19.0	27	false
526	19.0	46	false
527	18.0	18	false
528	18.0	24	false
529	18.0	49	false
530	18.0	25	false
531	18.0	38	false
532	18.0	14	false
533	18.0	29	false
534	18.0	43	false
535	18.0	14	false
536	18.0	22	false
537	18.0	43	false
538	18.0	26	false
539	18.0	16	false
540	18.0	22	false
541	18.0	45	false
542	18.0	34	false
543	18.0	50	false
544	18.0	30	false
545	18.0	31	false
546	18.0	33	false
547	18.0	15	false
548	18.0	45	false
549	18.0	39	false
550	18.0	7	false
551	18.0	31	false
552	18.0	10	false
553	18.0	36	false
554	18.0	31	false
555	18.0	47	false
556	17.0	13	false
557	17.0	47	false
558	17.0	42	false
559	17.0	30	false
560	17.0	40	false
561	17.0	6	false
562	17.0	22	false
563	17.0	7	false
564	17.0	4	false
565	17.0	6	false
566	17.0	31	false
567	17.0	34	false
568	17.0	4	false
569	17.0	3	false
570	17.0	33	false
571	17.0	5	false
572	17.0	28	false
573	17.0	19	false
574	17.0	9	false
575	17.0	50	false
576	17.0	9	false
577	17.0	43	false
578	17.0	37	false
579	17.0	9	false
580	17.0	40	false
581	17.0	1	true
582	17.0	46	false
583	17.0	41	false
584	17.0	28	false
585	17.0	47	false
586	17.0	39	false
587	17.0	22	false
588	17.0	13	false
589	16.0	23	false
590	16.0	9	false
591	16.0	38	false
592	16.0	46	false
593	16.0	46	false
594	16.0	32	false
595	16.0	25	false
596	16.0	15	false
597	16.0	7	false
598	16.0	28	false
599	16.0	48	false
600	16.0	5	false
601	16.0	41	false
602	16.0	43	false
603	16.0	21	false
604	16.0	26	false
605	16.0	1	true
606	16.0	28	false
607	16.0	8	false
608	16.0	43	false
609	16.0	17	false
610	16.0	11	false
611	16.0	44	false
612	16.0	13	false
613	16.0	28	false
614	16.0	4	false
615	16.0	20	false
616	16.0	17	false
617	16.0	23	false
618	16.0	14	false
619	16.0	10	false
620	16.0	11	false
621	16.0	46	false
622	16.0	17	false
623	16.0	23	false
624	16.0	39	false
625	16.0	14	false
626	15.0	37	false
627	15.0	31	false
628	15.0	45	false
629	15.0	22	false
630	15.0	41	false
631	15.0	5	false
632	15.0	33	false
633	15.0	10	false
634	15.0	34	false
635	15.0	49	false
636	15.0	11	false
637	15.0	30	false
638	15.0	41	false
639	15.0	19	false
640	15.0	22	false
641	15.0	48	false
642	15.0	24	false
643	15.0	35	false
644	15.0	26	false
645	15.0	4	false
646	15.0	38	false
647	15.0	38	false
648	15.0	49	false
649	15.0	16	false
650	15.0	37	false
651	15.0	41	false
652	15.0	25	false
653	15.0	36	false
654	15.0	42	false
655	15.0	46	false
656	15.0	17	false
657	15.0	30	false
658	15.0	13	false
659	15.0	30	false
660	15.0	24	false
661	15.0	43	false
662	15.0	24	false
663	15.0	16	false
664	15.0	45	false
665	15.0	12	false
666	15.0	42	false
667	14.0	19	false
668	14.0	28	false
669	14.0	2	false
670	14.0	12	false
671	14.0	6	false
672	14.0	48	false
673	14.0	3	false
674	14.0	28	false
675	14.0	10	false
676	14.0	27	false
677	14.0	22	false
678	14.0	30	false
679	14.0	29	false
680	14.0	24	false
681	14.0	2	false
682	14.0	22	false
683	14.0	24	false
684	14.0	23	false
685	14.0	9	false
