MEASURE USED:
value=(max-count)*frequency;   per item in LRU list
max=10000;
count=index of item in lru list
frequency=number of occurences of the item

hit rate = 14.087415109828601


max value is 175519122
item	value	weight	take
825	229375	38	false
826	229350	32	false
827	266017	47	false
828	265988	38	false
829	862074	1	true
830	861980	18	false
831	238394	4	false
832	238368	19	false
833	788362	35	false
834	788276	34	false
835	284115	29	false
836	284084	50	false
837	247401	35	false
838	247374	40	false
839	247347	19	false
840	247320	38	false
841	210657	39	false
842	210634	13	false
843	265553	32	false
844	265524	31	false
845	869725	47	false
846	869630	18	false
847	860382	8	false
848	860288	29	false
849	118963	43	false
850	118950	8	false
851	18298	18	false
852	18296	12	false
853	878112	24	false
854	210358	6	false
855	210335	42	false
856	146304	34	false
857	146288	24	false
858	155414	23	false
859	155397	6	false
860	191940	24	false
861	191919	22	false
862	146208	28	false
863	146192	46	false
864	694336	18	false
865	694260	16	false
866	758122	3	true
867	758039	26	false
868	18264	4	false
869	18262	34	false
870	18260	46	false
871	18258	36	false
872	18256	27	false
873	18254	25	false
874	18252	46	false
875	18250	7	false
876	9124	18	false
877	9123	27	false
878	54732	9	false
879	54726	46	false
880	155040	41	false
881	155023	24	false
882	54708	3	false
883	54702	17	false
884	54696	11	false
885	218760	32	false
886	218736	36	false
887	173147	28	false
888	173128	47	false
889	173109	24	false
890	173090	16	false
891	182180	36	false
892	182160	19	false
893	72856	2	false
894	72848	15	false
895	182100	38	false
896	182080	1	true
897	136545	18	false
898	136530	29	false
899	54606	16	false
900	54600	7	false
901	163782	5	false
902	163764	37	false
903	145552	2	false
904	145536	2	false
905	100045	39	false
906	100034	10	false
907	72744	21	false
908	72736	34	false
909	127274	4	false
910	127260	28	false
911	145424	28	false
912	145408	3	false
913	54522	35	false
914	54516	48	false
915	63595	33	false
916	63588	23	false
917	63581	25	false
918	63574	13	false
919	45405	48	false
920	45400	45	false
921	63553	47	false
922	63546	38	false
923	27231	39	false
924	27228	48	false
925	117975	5	false
926	117962	45	false
927	27219	44	false
928	27216	28	false
929	136065	22	false
930	136050	27	false
931	117897	16	false
932	117884	33	false
933	199474	8	false
934	199452	31	false
935	36260	41	false
936	36256	5	false
937	45315	2	false
938	45310	48	false
939	117793	38	false
940	117780	34	false
941	90590	2	false
942	90580	5	false
943	36228	47	false
944	36224	15	false
945	90550	13	false
946	90540	19	false
947	54318	4	false
948	54312	29	false
949	63357	27	false
950	63350	35	false
951	9049	46	false
952	9048	20	false
953	108564	17	false
954	108552	9	false
955	18090	47	false
956	18088	36	false
957	18086	11	false
958	18084	16	false
959	18082	45	false
960	18080	13	false
961	18078	26	false
962	18076	47	false
963	18074	15	false
964	18072	46	false
965	18070	45	false
966	18068	6	false
967	18066	44	false
968	36128	42	false
969	18062	37	false
970	18060	14	false
971	36116	8	false
972	36112	21	false
973	36108	4	false
974	36104	48	false
975	36100	49	false
976	36096	26	false
977	72184	24	false
978	135330	14	false
979	135315	47	false
980	261580	19	false
981	261551	28	false
982	405810	50	false
983	405765	9	false
984	216384	1	true
985	216360	23	false
986	27042	19	false
987	27039	47	false
988	90120	19	false
989	90110	19	false
990	18020	41	false
991	18018	26	false
992	18016	17	false
993	18014	26	false
994	18012	48	false
995	18010	49	false
996	18008	16	false
997	18006	15	false
998	342076	6	false
999	342038	46	false
1000	333000	48	false
1001	332963	1	true
1002	332926	38	false
1003	1268577	4	true
1004	1268436	41	false
1005	332815	30	false
1006	341772	33	false
1007	341734	3	false
1008	350688	36	false
1009	350649	10	false
1010	89900	44	false
1011	89890	35	false
1012	161784	7	false
1013	80883	15	false
1014	80874	25	false
1015	161730	19	false
1016	80856	24	false
1017	80847	10	false
1018	179640	39	false
1019	179620	5	false
1020	179600	9	false
1021	179580	21	false
1022	152626	33	false
1023	152609	34	false
1024	206448	15	false
1025	206425	5	false
1026	349986	15	false
1027	349947	3	false
1028	278132	17	false
1029	278101	20	false
1030	304980	27	false
1031	304946	24	false
1032	152456	16	false
1033	152439	28	false
1034	161388	39	false
1035	161370	14	false
1036	143424	12	false
1037	143408	16	false
1038	125468	14	false
1039	125454	23	false
1040	116480	14	false
1041	116467	29	false
1042	161244	30	false
1043	161226	6	false
1044	143296	31	false
1045	143280	50	false
1046	170126	50	false
1047	170107	39	false
1048	98472	34	false
1049	98461	11	false
1050	170050	47	false
1051	170031	1	true
1052	134220	20	false
1053	134205	13	false
1054	107352	34	false
1055	107340	2	false
1056	53664	7	false
1057	53658	8	false
1058	26826	28	false
1059	26823	43	false
1060	107280	21	false
1061	107268	30	false
1062	151946	48	false
1063	151929	9	false
1064	205528	2	false
1065	205505	13	false
1066	169746	16	false
1067	169727	48	false
1068	125048	16	false
1069	125034	15	false
1070	107160	19	false
1071	107148	35	false
1072	116064	41	false
1073	116051	14	false
1074	116038	25	false
1075	116025	2	false
1076	116012	26	false
1077	115999	44	false
1078	151674	50	false
1079	151657	37	false
1080	142720	39	false
1081	142704	2	false
1082	98098	34	false
1083	98087	3	false
1084	80244	3	false
1085	80235	20	false
1086	44570	18	false
1087	44565	49	false
1088	80208	14	false
1089	80199	20	false
1090	98010	46	false
1091	97999	24	false
1092	97988	18	false
1093	97977	4	false
1094	115778	35	false
1095	115765	42	false
1096	124656	32	false
1097	124642	1	false
1098	133530	35	false
1099	133515	12	false
1100	44500	6	false
1101	44495	43	false
1102	35592	50	false
1103	35588	18	false
1104	97856	21	false
1105	97845	29	false
1106	80046	36	false
1107	80037	26	false
1108	115596	29	false
1109	115583	23	false
1110	106680	39	false
1111	106668	41	false
1112	115544	34	false
1113	115531	13	false
1114	62202	29	false
1115	62195	3	false
1116	115492	24	false
