MEASURE USED:
max - lru_order
where max = 10000
lru_size  =  3000

hit rate = 8.176820318913405


max value is 1996045
item	value	weight	take
447	9553	43	false
448	9552	8	false
449	9551	21	false
450	9550	22	false
451	9549	17	false
452	9548	16	false
453	9547	12	false
454	9546	41	false
455	9545	36	false
456	9544	22	false
457	9543	49	false
458	9542	5	true
459	9541	22	false
460	9540	22	false
461	9539	40	false
462	9538	31	false
463	9537	38	false
464	9536	21	false
465	9535	7	false
466	9534	30	false
467	9533	4	true
468	9532	47	false
469	9531	8	false
470	9530	41	false
471	9529	28	false
472	9528	34	false
473	9527	42	false
474	9526	20	false
475	9525	49	false
476	9524	50	false
477	9523	7	false
478	9522	42	false
479	9521	3	true
480	9520	37	false
481	9519	2	true
482	9518	14	false
483	9517	26	false
484	9516	50	false
485	9515	45	false
486	9514	5	true
487	9513	17	false
488	9512	21	false
489	9511	11	false
490	9510	26	false
491	9509	36	false
492	9508	26	false
493	9507	48	false
494	9506	21	false
495	9505	17	false
496	9504	9	false
497	9503	38	false
498	9502	48	false
499	9501	38	false
500	9500	42	false
501	9499	24	false
502	9498	37	false
503	9497	1	true
504	9496	47	false
505	9495	16	false
506	9494	11	false
507	9493	22	false
508	9492	45	false
509	9491	30	false
510	9490	15	false
511	9489	31	false
512	9488	41	false
513	9487	11	false
514	9486	5	true
515	9485	18	false
516	9484	32	false
517	9483	14	false
518	9482	5	false
519	9481	3	true
520	9480	3	true
521	9479	41	false
522	9478	33	false
523	9477	37	false
524	9476	30	false
525	9475	27	false
526	9474	46	false
527	9473	18	false
528	9472	24	false
529	9471	49	false
530	9470	25	false
531	9469	38	false
532	9468	14	false
533	9467	29	false
534	9466	43	false
535	9465	14	false
536	9464	22	false
537	9463	43	false
538	9462	26	false
539	9461	16	false
540	9460	22	false
541	9459	45	false
542	9458	34	false
543	9457	50	false
544	9456	30	false
545	9455	31	false
546	9454	33	false
547	9453	15	false
548	9452	45	false
549	9451	39	false
550	9450	7	false
551	9449	31	false
552	9448	10	false
553	9447	36	false
554	9446	31	false
555	9445	47	false
556	9444	13	false
557	9443	47	false
558	9442	42	false
559	9441	30	false
560	9440	40	false
561	9439	6	false
562	9438	22	false
563	9437	7	false
564	9436	4	true
565	9435	6	false
566	9434	31	false
567	9433	34	false
